,healthex_per_gov,age_dependency,trade_per_gdp,pcgni_current_dollar,mater_death_risk,lifeexp_total
Europe & Central Asia (IDA & IBRD countries),9.89162373304133,11.7641029271711,51.8507330155036,6501.38097032819,0.0459262377513982,72.992001083316
Togo,5.72129025,2.78926146336386,80.0759262158104,372.980157941942,1.71769884969413,59.949
Thailand,16.63241096,10.5647357320967,103.877222209816,4480.83736104277,0.0281182142560191,75.103
Tajikistan,6.06756645,3.32188084412383,55.0785359243277,971.984565984213,0.12713745806908,70.879
Latin America & the Caribbean (IDA & IBRD countries),10.3184889335487,7.43249400182121,38.0463124890826,7301.74759382722,0.150747109022879,75.2312010700718
Timor-Leste,4.15029851,3.45655076604965,29.8946012111841,1836.24260192004,1.22228196986938,68.569
Tonga,8.35449875,5.85724493249596,52.0902830752866,3773.04971779779,0.433792214455589,72.88
Trinidad and Tobago,8.48202247,9.41178979069063,83.0998315046795,13918.9020589248,0.115839419309269,70.556
Tunisia,13.57235257,7.60962210944608,79.4714589720655,2959.67199589609,0.140912438900575,75.525
Turkey,10.06761424,7.80175438632354,40.8321215523198,9235.40257805718,0.0337378993915986,75.498
Tanzania,7.42916889,3.11031614223449,34.45227849203,776.404922044242,2.20240526714101,64.95
Uganda,5.61437325,2.1746788568502,28.7614897023271,483.281215717677,2.1283034635971,59.575
Ukraine,8.32634601,15.8867146416663,81.4848052182904,1814.80360463439,0.037862152311881,71.189512195122
Upper middle income,9.9763945944737,8.96116238856862,41.1920545722983,6411.29951142522,0.0768711341790992,75.0888384917493
Uruguay,20.01452208,14.4346056827931,32.2236043260551,13302.5711893162,0.0302409612742895,77.341
United States,22.57111153,14.6403434145212,21.0691114813246,48967.2216901171,0.0261155611660945,78.690243902439
Uzbekistan,9.33053367,4.23151830895259,32.8830330083005,1911.79691196799,0.0994769853067875,71.192
St. Vincent and the Grenadines,10.01856695,7.32812571376365,50.2321749481148,5421.08824657409,0.0936156728406682,73.06
Vietnam,7.88830819,6.74454773211183,169.567526595251,1701.27843922876,0.114473922760093,76.052
Samoa,11.52781291,5.33446188306092,53.4149594423857,3610.04903790166,0.199376495360201,74.77
"Yemen, Rep.",2.22872187,2.85702588035528,16.6097970358074,1283.40168705562,1.6587288654066,64.743
South Africa,14.05813392,5.0812402872246,58.6012993502207,4687.38125297848,0.333630207691807,61.981
Zambia,6.79269685,2.50209510994848,73.3574106001125,998.994773714617,1.2582492656879,61.397
Zimbabwe,8.14999005,2.82359298723222,36.308420563266,755.784963921948,1.93896426086029,60.398
